Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Zn,Y,Zr,Sn,Density293K
0,0.117647118,0.549117647,0.195882324,0,0,0.137352911,0,0,0,0,0,0,0,0,2.5
0,0.117647115,0.549117633,0.170588222,0,0,0.137352908,0,0.025294123,0,0,0,0,0,0,2.50999999
0,0.117647114,0.549117631,0.147058814,0,0,0.137352908,0,0.048823532,0,0,0,0,0,0,2.50999999
0,0.117647114,0.549117629,0.123529406,0,0,0.137352907,0,0.072352945,0,0,0,0,0,0,2.5
0,0.117647111,0.549117616,0.097647062,0,0,0.137352904,0,0.098235308,0,0,0,0,0,0,2.5
0,0.117647113,0.549117624,0.070588246,0,0,0.137352906,0,0.125294113,0,0,0,0,0,0,2.5
0,0.117647114,0.549117631,0.047058834,0,0,0.137352908,0,0.148823512,0,0,0,0,0,0,2.49000001
0,0.117647116,0.549117639,0.023529413,0,0,0.137352909,0,0.172352923,0,0,0,0,0,0,2.49000001
0,0.117647118,0.549117647,0,0,0,0.137352911,0,0.195882324,0,0,0,0,0,0,2.49000001
0,0.285714313,0.592857116,0.04047619,0,0,0.069047621,0,0.01190476,0,0,0,0,0,0,2.119999886
0,0.285714313,0.592857116,0.02857143,0,0,0.069047621,0,0.02380952,0,0,0,0,0,0,2.119999886
0,0.285714312,0.592857115,0.019047621,0,0,0.06904762,0,0.033333331,0,0,0,0,0,0,2.119999886
0,0.285714312,0.592857114,0.00952381,0,0,0.06904762,0,0.042857143,0,0,0,0,0,0,2.119999886
0,0.285714313,0.592857116,0,0,0,0.069047621,0,0.05238095,0,0,0,0,0,0,2.109999895
0,0.285714308,0.588095218,0.061904761,0,0,0.064285713,0,0,0,0,0,0,0,0,2.150000095
0,0.285714308,0.588095219,0.052380949,0,0,0.064285714,0,0.00952381,0,0,0,0,0,0,2.140000105
0,0.285714307,0.588095217,0.042857142,0,0,0.064285713,0,0.019047621,0,0,0,0,0,0,2.140000105
0,0.285714308,0.588095218,0.033333331,0,0,0.064285713,0,0.02857143,0,0,0,0,0,0,2.140000105
0,0.285714308,0.588095218,0.023809519,0,0,0.064285713,0,0.038095241,0,0,0,0,0,0,2.140000105
